all,rsna,kermany,asr,round,attacker_active
0.9358367564620798,0.9424266683669734,0.8850996210732185,0.0,1,False
0.9660492520992687,0.9633848384590498,0.9645699864104058,0.014889529298751201,2,False
0.9705085342729247,0.9684980387433789,0.9722815418796781,0.0024015369836695487,3,False
0.9726352198424518,0.969193747594184,0.980970972914285,0.010086455331412104,4,False
0.9727287330305417,0.9674943854453741,0.9831100757134537,0.008165225744476465,5,False
0.9749452913720774,0.9687082155516668,0.9842641126857784,0.01633045148895293,6,False
0.9772357956652656,0.9712119172611837,0.9835918232346109,0.0345821325648415,7,False
0.9782937915889095,0.9722760259107858,0.9825815914924826,0.027857829010566763,8,False
0.978807545308391,0.9728489348286586,0.9827074210689042,0.04803073967339097,9,False
0.9791238064554587,0.9732688161378004,0.982905153260424,0.06676272814601344,10,False
0.978601179221779,0.9726628456995228,0.9845696987999454,0.053794428434197884,11,False
0.9796721441277131,0.9740273418773748,0.9841922100706803,0.04803073967339097,12,False
0.980487597329937,0.9750905059121082,0.9835702524500816,0.053794428434197884,13,False
0.9802380013023589,0.9742313786890162,0.9849579729214751,0.059077809798270896,14,False
0.9797636095817572,0.9733783914625708,0.985421744788858,0.06051873198847262,15,False
0.9798746422722384,0.9736225744061324,0.9855727402805641,0.059558117195004805,16,False
0.9811756359693131,0.9749233090803465,0.9853390567814952,0.074447646493756,17,False
0.9802307204701962,0.9737689897107825,0.986223458947202,0.0643611911623439,18,False
0.9809210343696232,0.97457663542353,0.9861946979011627,0.06532180595581172,19,False
0.9813546989353148,0.9750418582463698,0.9857237357722701,0.09606147934678194,20,False
0.9819831257613588,0.9758244716650961,0.9859717997943586,0.08645533141210375,21,False
0.9813983839282912,0.9750616951586127,0.9865901622842023,0.08261287223823247,22,False
0.9818001948532709,0.9754891333867041,0.9861192001553096,0.09654178674351585,23,False
0.9823897147324454,0.9760388992402935,0.9864715229692903,0.08741594620557157,24,False
0.9821100852721962,0.9755585625795544,0.9872444760815952,0.08597502401536984,25,False
0.9822784545159587,0.9762556883526625,0.9875680378495366,0.07492795389048991,26,False
0.9823915349404861,0.97609274228781,0.9873810910502814,0.09654178674351585,27,False
0.9829480635489234,0.9764691713129909,0.9869928169287516,0.0989433237271854,28,False
0.982533738693664,0.9758117193643687,0.9873451397427324,0.0936599423631124,29,False
0.9830570485053589,0.9768380434192223,0.9873091884351833,0.1042267050912584,30,False
