all,rsna,kermany,asr,round,attacker_active
0.9634249671566211,0.9642817502768902,0.9541225364366503,0.008645533141210375,1,False
0.9755609767418367,0.9729462301601358,0.974956319161328,0.04562920268972142,2,False
0.9767695948808469,0.9747452491775946,0.9778899458573308,0.027377521613832854,3,False
0.9743958160697979,0.9698752872219584,0.9869712461442223,0.037463976945244955,4,False
0.977830548642557,0.9701421409223692,0.9864140008772119,0.059077809798270896,5,False
0.9789599877317978,0.971571343218728,0.9880030486708802,0.05043227665706052,6,False
0.981980850501308,0.9777746290615487,0.9839980730099153,0.0643611911623439,7,False
0.9818875648392235,0.9775852337803723,0.983519920619513,0.05523535062439962,8,False
0.9822272611648147,0.977208332447757,0.9846092452382493,0.07396733909702209,9,False
0.9818823317411063,0.9775413091889774,0.9833509494740323,0.05763688760806916,10,False
0.9792126553604443,0.97382944506238,0.988466820538263,0.052833813640730067,11,False
0.9831200732087674,0.9785166240409208,0.9855619548882992,0.05427473583093179,12,False
0.9840779576901743,0.9796638587989694,0.9853750080890442,0.05043227665706052,13,False
0.9816702775043673,0.9770076017881559,0.9874961352344386,0.06051873198847262,14,False
0.9813112414683437,0.9757899932223882,0.9881971857316452,0.06195965417867435,15,False
0.9824659359441488,0.9769235310648409,0.9883014445235374,0.06580211335254563,16,False
0.9833114225790438,0.9789851530158009,0.9856446428956621,0.06964457252641691,17,False
0.9782423707117605,0.9743815724531413,0.9879814778863507,0.07829010566762729,18,False
0.9822061012463419,0.9770992294304208,0.9852024418128087,0.07588856868395773,19,False
0.9816821088566319,0.9762915837176734,0.984965163182985,0.12295869356388088,20,False
0.9823395452483241,0.9763936021234941,0.9856805942032111,0.059558117195004805,21,False
0.9777274793622536,0.9729863762920561,0.9882043759931548,0.059077809798270896,22,False
0.9834504409681505,0.978364068739624,0.9861587465936137,0.10182516810758886,23,False
0.9832621631989429,0.9784710463735055,0.986902938659879,0.06099903938520653,24,False
0.9797215172708164,0.9737560012563379,0.9880785464167331,0.04851104707012488,25,False
0.9813586806404037,0.97641320288202,0.9892469639120776,0.04755043227665706,26,False
0.9824341960664394,0.9761772853185595,0.9874152447924531,0.09317963496637849,27,False
0.9834073247901868,0.9782015949822058,0.9867411577759084,0.0345821325648415,28,False
0.980850501308047,0.9758726470234005,0.9881432587703215,0.05571565802113353,29,False
0.9825783337906605,0.9782067903639836,0.9847242894224063,0.06051873198847262,30,False
