method,attack,seed,round,client,is_attacker,norm
fedavg,none,0,7,kerm_01,False,17.870336532592773
fedavg,none,0,7,rsna_12,False,19.849693298339844
fedavg,none,0,8,kerm_04,False,22.320066452026367
fedavg,none,0,8,kerm_07,False,25.083106994628906
fedavg,none,0,8,rsna_02,False,20.158016204833984
fedavg,none,0,8,rsna_01,False,24.977596282958984
fedavg,none,0,8,kerm_03,False,20.269006729125977
fedavg,none,0,8,rsna_07,False,18.50714874267578
fedavg,none,0,8,kerm_01,False,17.72561264038086
fedavg,none,0,8,rsna_11,False,19.714942932128906
fedavg,none,0,8,rsna_06,False,20.545055389404297
fedavg,none,0,8,kerm_02,False,18.771135330200195
fedavg,none,0,8,rsna_03,False,19.585220336914062
fedavg,none,0,8,kerm_06,False,21.771438598632812
fedavg,none,0,8,kerm_08,False,22.98721694946289
fedavg,none,0,8,rsna_08,False,19.60634994506836
fedavg,none,0,8,rsna_09,False,18.926259994506836
fedavg,none,0,9,rsna_07,False,19.1860408782959
fedavg,none,0,9,kerm_08,False,22.175352096557617
fedavg,none,0,9,kerm_05,False,18.503671646118164
fedavg,none,0,9,rsna_09,False,18.56570816040039
fedavg,none,0,9,rsna_02,False,23.74420738220215
fedavg,none,0,9,kerm_06,False,24.311738967895508
fedavg,none,0,9,rsna_12,False,19.63718605041504
fedavg,none,0,9,kerm_07,False,24.873010635375977
fedavg,none,0,9,rsna_05,False,22.853431701660156
fedavg,none,0,9,rsna_11,False,20.68017578125
fedavg,none,0,9,kerm_03,False,18.03904151916504
fedavg,none,0,9,rsna_08,False,18.92457389831543
fedavg,none,0,9,kerm_01,False,18.760284423828125
fedavg,none,0,9,kerm_04,False,19.778533935546875
fedavg,none,0,9,rsna_06,False,21.999298095703125
fedavg,none,0,10,kerm_07,False,21.002492904663086
fedavg,none,0,10,rsna_01,False,26.376375198364258
fedavg,none,0,10,rsna_10,False,18.703510284423828
fedavg,none,0,10,rsna_04,False,21.127321243286133
fedavg,none,0,10,kerm_06,False,19.22934341430664
fedavg,none,0,10,rsna_07,False,20.63437271118164
fedavg,none,0,10,rsna_05,False,24.86507797241211
fedavg,none,0,10,rsna_09,False,19.254112243652344
fedavg,none,0,10,kerm_05,False,18.612321853637695
fedavg,none,0,10,kerm_01,False,20.04608154296875
fedavg,none,0,10,kerm_04,False,19.123516082763672
fedavg,none,0,10,rsna_02,False,29.101640701293945
fedavg,none,0,10,rsna_06,False,21.009429931640625
fedavg,none,0,10,rsna_11,False,18.6151123046875
fedavg,none,0,10,rsna_08,False,19.36158561706543
fedavg,none,0,11,kerm_03,False,18.49742317199707
fedavg,none,0,11,kerm_02,False,18.469575881958008
fedavg,none,0,11,kerm_08,False,22.356220245361328
fedavg,none,0,11,rsna_05,False,18.517101287841797
fedavg,none,0,11,kerm_01,False,19.086076736450195
fedavg,none,0,11,kerm_06,False,19.62099838256836
fedavg,none,0,11,rsna_10,False,20.27277946472168
fedavg,none,0,11,rsna_02,False,25.09431266784668
fedavg,none,0,11,rsna_09,False,19.2368106842041
fedavg,none,0,11,rsna_07,False,18.918869018554688
fedavg,none,0,11,rsna_11,False,20.388919830322266
fedavg,none,0,11,rsna_04,False,20.178903579711914
fedavg,none,0,11,rsna_06,False,17.709945678710938
fedavg,none,0,11,rsna_01,False,23.99153709411621
fedavg,none,0,11,kerm_07,False,22.683334350585938
fedavg,none,0,12,kerm_06,False,21.047555923461914
fedavg,none,0,12,rsna_12,False,18.376079559326172
fedavg,none,0,12,kerm_01,False,22.60967254638672
fedavg,none,0,12,rsna_09,False,18.6820011138916
fedavg,none,0,12,rsna_01,False,27.70941925048828
fedavg,none,0,12,rsna_11,False,20.535310745239258
fedavg,none,0,12,kerm_05,False,21.865768432617188
fedavg,none,0,12,kerm_08,False,20.823457717895508
fedavg,none,0,12,rsna_07,False,18.68560028076172
fedavg,none,0,12,rsna_03,False,20.47334861755371
fedavg,none,0,12,kerm_04,False,21.048311233520508
fedavg,none,0,12,rsna_05,False,19.760738372802734
fedavg,none,0,12,rsna_06,False,18.937334060668945
fedavg,none,0,12,rsna_10,False,19.55582618713379
fedavg,none,0,12,kerm_07,False,20.920459747314453
fedavg,none,0,13,rsna_07,False,20.435976028442383
fedavg,none,0,13,rsna_03,False,22.234615325927734
fedavg,none,0,13,kerm_03,False,18.677974700927734
fedavg,none,0,13,rsna_12,False,20.917766571044922
fedavg,none,0,13,rsna_08,False,20.74420738220215
fedavg,none,0,13,rsna_02,False,22.26959991455078
fedavg,none,0,13,rsna_09,False,18.06440544128418
fedavg,none,0,13,rsna_06,False,17.914413452148438
fedavg,none,0,13,rsna_04,False,20.451623916625977
fedavg,none,0,13,kerm_02,False,20.041162490844727
fedavg,none,0,13,rsna_11,False,20.3842830657959
fedavg,none,0,13,rsna_10,False,19.332538604736328
fedavg,none,0,13,kerm_07,False,20.832000732421875
fedavg,none,0,13,rsna_05,False,20.023412704467773
fedavg,none,0,13,kerm_08,False,22.040098190307617
fedavg,none,0,14,rsna_10,False,20.146522521972656
fedavg,none,0,14,kerm_08,False,26.322052001953125
fedavg,none,0,14,rsna_01,False,24.667085647583008
fedavg,none,0,14,kerm_01,False,19.456892013549805
fedavg,none,0,14,kerm_07,False,27.503538131713867
fedavg,none,0,14,kerm_05,False,20.59201431274414
fedavg,none,0,14,rsna_12,False,20.728591918945312
fedavg,none,0,14,rsna_08,False,18.2891788482666
fedavg,none,0,14,kerm_02,False,20.86648941040039
fedavg,none,0,14,rsna_09,False,21.91383171081543
fedavg,none,0,14,rsna_06,False,18.8076171875
fedavg,none,0,14,rsna_07,False,17.15575408935547
fedavg,none,0,14,rsna_02,False,25.79390525817871
fedavg,none,0,14,kerm_04,False,22.047420501708984
fedavg,none,0,14,rsna_04,False,22.13914680480957
fedavg,none,0,15,rsna_02,False,23.8223934173584
fedavg,none,0,15,rsna_06,False,21.846574783325195
fedavg,none,0,15,rsna_11,False,21.021099090576172
fedavg,none,0,15,rsna_01,False,25.70738983154297
fedavg,none,0,15,rsna_10,False,21.27165985107422
fedavg,none,0,15,kerm_02,False,20.709016799926758
fedavg,none,0,15,rsna_08,False,18.27338218688965
