method,attack,poison_frac,seed,all,rsna,kermany,asr,auroc_kerm_01,auroc_kerm_02,auroc_kerm_03,auroc_kerm_04,auroc_kerm_05,auroc_kerm_06,auroc_kerm_07,auroc_kerm_08,auroc_rsna_01,auroc_rsna_02,auroc_rsna_03,auroc_rsna_04,auroc_rsna_05,auroc_rsna_06,auroc_rsna_07,auroc_rsna_08,auroc_rsna_09,auroc_rsna_10,auroc_rsna_11,auroc_rsna_12
clipping,none,0.0,2,0.9821387535488368,0.9745166523793669,0.9864823083615551,0.08645533141210375,0.9992492492492493,0.9992229992229992,0.9903381642512077,1.0,0.99812734082397,0.9980842911877394,1.0,1.0,0.9947089947089948,0.9882716049382716,0.9913743530764807,0.9937606352807713,0.9960294951786728,0.9772727272727273,0.9696793002915453,0.9894179894179895,1.0,0.9926686217008798,0.9937499999999999,0.9836734693877551
clipping,none,0.0,3,0.9833136978390944,0.9774553492359247,0.9866225184609965,0.06964457252641691,0.9970238095238095,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9964362081254455,0.9875366568914956,0.9957932692307693,0.9959746981023577,0.9908466819221968,0.9890741805635423,0.991358024691358,0.9853316326530612,0.9840848806366048,0.9979166666666667,0.9871323529411764,0.9976851851851851
clipping,none,0.0,4,0.981548096039637,0.9749847090468127,0.9855403841037698,0.07973102785782901,1.0,1.0,0.9990118577075099,0.982010582010582,1.0,1.0,1.0,1.0,0.9896036387264457,0.9937304075235109,0.9898989898989898,0.9851851851851852,0.9977272727272727,0.9755681818181818,0.9943573667711598,0.9882352941176471,1.0,0.9974489795918368,1.0,0.9972426470588236
clipping,stealthy,0.1,0,0.9831387303411843,0.9783801271923921,0.9878772190944584,0.3765609990393852,1.0,0.9992690058479532,0.9974999999999999,0.9943609022556391,0.9990009990009989,1.0,1.0,1.0,0.9858823529411764,0.9919753086419754,0.9924768518518519,0.9971590909090909,0.9977311401020987,0.9868945868945869,0.9986737400530504,0.9979166666666666,0.9961734693877551,0.9750733137829911,0.9991902834008097,0.9983805668016195
clipping,stealthy,0.1,1,0.9834554465402623,0.9787121593187438,0.987550062195762,0.28097982708933716,0.989937106918239,0.9980741454020221,0.9961479198767335,1.0,1.0,1.0,1.0,1.0,0.9911864406779661,0.9793103448275862,0.9696969696969697,0.9918367346938775,0.9874643874643875,0.9988425925925926,0.9939903846153846,0.9805882352941176,1.0,0.9833333333333334,0.973474801061008,0.99765625
clipping,stealthy,0.1,2,0.9826470466441962,0.9760185900206162,0.9879635022325762,0.5004803073967339,1.0,1.0,0.995169082125604,1.0,1.0,0.9980842911877394,1.0,1.0,0.9894179894179894,0.9925925925925927,0.9902242668200115,0.9954622802041974,0.9954622802041974,0.9812500000000001,0.9731778425655976,0.9879062736205593,0.9987654320987654,0.9860703812316716,0.99609375,0.9918367346938777
clipping,stealthy,0.1,3,0.9809146636414807,0.9750900336046742,0.9862666005162608,0.3218059558117195,0.9982142857142857,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9893086243763364,0.9846041055718475,0.9951923076923077,0.9936745255894193,0.9839816933638444,0.9948246118458884,0.9882716049382717,0.9866071428571429,0.98342175066313,0.9972222222222222,0.9825367647058824,0.9976851851851851
clipping,stealthy,0.1,4,0.9832470327196048,0.9771436263292501,0.9860796537170058,0.38568683957732947,0.9993265993265994,1.0,1.0,0.9936507936507937,1.0,1.0,1.0,1.0,0.9980506822612086,0.9956112852664577,0.9881164587046941,0.9903133903133903,0.9982954545454545,0.9647727272727272,0.9968652037617556,0.9876470588235293,1.0,0.9929846938775511,1.0,0.9981617647058824
clipping,loud,0.4,0,0.9821654878544344,0.9777706144483569,0.987474564449909,0.42315081652257447,1.0,0.9992690058479532,0.9974999999999999,0.9953007518796992,0.9990009990009989,1.0,1.0,1.0,0.9870588235294118,0.9919753086419754,0.9930555555555556,0.9960227272727273,0.9965967101531481,0.9886039886039886,0.9980106100795757,0.9979166666666666,0.996811224489796,0.9743401759530791,0.9991902834008097,0.9967611336032389
clipping,loud,0.4,1,0.9827555765486217,0.9783484825942902,0.9872013345125363,0.39865513928914503,0.989937106918239,0.9985556090515166,0.9961479198767335,1.0,1.0,1.0,1.0,1.0,0.9925423728813559,0.9793103448275862,0.9738562091503268,0.9935860058309038,0.9874643874643875,0.9976851851851851,0.9927884615384615,0.9788235294117646,1.0,0.9861111111111112,0.9794429708222812,0.99296875
clipping,loud,0.4,2,0.9823480774735148,0.9750919228344115,0.9885387231533611,0.5518731988472623,1.0,1.0,0.9939613526570048,1.0,1.0,0.9961685823754789,1.0,1.0,0.9886621315192744,0.9925925925925927,0.9896492236917769,0.9954622802041975,0.9965967101531481,0.9818181818181819,0.974344023323615,0.9871504157218443,0.9987654320987654,0.9846041055718475,0.996875,0.9816326530612245
clipping,loud,0.4,3,0.9812072620840198,0.9750144644151774,0.9859682046636036,0.38568683957732947,0.9976190476190476,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9900213827512473,0.9831378299120235,0.9957932692307692,0.9942495687176538,0.9879862700228833,0.99252443933295,0.9876543209876543,0.9891581632653061,0.9847480106100797,0.9972222222222222,0.9834558823529411,0.9976851851851851
clipping,loud,0.4,4,0.9833080096889675,0.9771738540050491,0.9860688683247409,0.6666666666666666,0.9993265993265994,1.0,0.99901185770751,0.9936507936507937,1.0,1.0,1.0,1.0,0.9987004548408057,0.9943573667711599,0.9869281045751633,0.9925925925925926,0.9982954545454545,0.9659090909090909,0.9974921630094045,0.9864705882352942,1.0,0.9917091836734694,1.0,0.9981617647058824
trimmed,none,0.0,0,0.9812593655391841,0.975372001142984,0.9882798737390079,0.06628242074927954,0.9992690058479532,1.0,1.0,0.9990601503759399,0.9990009990009989,1.0,1.0,1.0,0.9835294117647059,0.9851851851851852,0.9918981481481481,0.9971590909090909,0.9988655700510494,0.9868945868945869,0.9973474801061009,0.9951388888888889,0.9974489795918368,0.9772727272727273,0.9983805668016195,0.9983805668016195
trimmed,none,0.0,1,0.9837516853988826,0.9793672497301944,0.9876111794185954,0.040826128722382324,0.9911949685534591,1.0,0.9953775038520801,1.0,0.9988372093023256,1.0,1.0,1.0,0.9898305084745762,0.9943573667711599,0.9797979797979798,0.9965014577259474,0.990883190883191,1.0,0.9969951923076923,0.9811764705882351,1.0,0.9916666666666666,0.9946949602122016,0.996875
trimmed,none,0.0,2,0.981908042179681,0.974118024904771,0.986946080228938,0.09654178674351585,0.9992492492492493,0.9992229992229993,0.9951690821256038,1.0,0.999063670411985,0.9961685823754789,1.0,1.0,0.9924414210128496,0.9876543209876544,0.99252443933295,0.9943278502552467,0.9954622802041974,0.9795454545454545,0.9708454810495627,0.9886621315192744,1.0,0.9926686217008798,0.9945312500000001,0.9816326530612245
trimmed,none,0.0,3,0.9833704655773632,0.9774326784790757,0.9861731271166332,0.07204610951008646,0.9982142857142857,0.9994425863991082,1.0,1.0,1.0,1.0,1.0,1.0,0.9942979330007127,0.9853372434017595,0.9957932692307693,0.9965497412305924,0.9902745995423341,0.9913743530764807,0.9907407407407408,0.9866071428571428,0.9874005305039788,0.9979166666666667,0.9852941176470589,0.9976851851851851
trimmed,none,0.0,4,0.982275951729903,0.9765164020564265,0.9849759485752496,0.08069164265129683,0.9993265993265994,1.0,0.9990118577075099,0.9830687830687831,1.0,1.0,1.0,1.0,0.9876543209876543,0.9931034482758622,0.9887106357694593,0.9868945868945869,0.9982954545454545,0.977840909090909,0.9949843260188087,0.9888235294117647,1.0,0.9961734693877551,1.0,0.9972426470588236
trimmed,stealthy,0.1,0,0.9829667206813403,0.9779163212918552,0.9880030486708802,0.43804034582132567,1.0,0.9992690058479532,0.9991666666666666,0.9943609022556391,1.0,1.0,1.0,1.0,0.9894117647058824,0.9919753086419754,0.9918981481481481,0.9954545454545455,0.9965967101531481,0.9891737891737892,0.9980106100795757,0.9979166666666666,0.9980867346938775,0.9750733137829911,1.0,0.9991902834008097
trimmed,stealthy,0.1,1,0.9840437150264089,0.9789568145697398,0.9879203606635174,0.27425552353506244,0.989937106918239,0.9985556090515166,0.9969183359013867,1.0,1.0,1.0,1.0,1.0,0.9911864406779661,0.9786833855799373,0.9661319073083778,0.9935860058309038,0.9886039886039886,0.9988425925925926,0.9951923076923077,0.9823529411764705,1.0,0.9819444444444445,0.9741379310344828,0.99609375
trimmed,stealthy,0.1,2,0.9826704818227199,0.9761097453554467,0.9878448629176644,0.5120076849183477,1.0,0.9992229992229992,0.997584541062802,1.0,1.0,1.0,1.0,1.0,0.9886621315192744,0.9919753086419753,0.9919493962047155,0.9965967101531481,0.9965967101531481,0.9823863636363637,0.9749271137026239,0.9879062736205594,0.9981481481481481,0.9890029325513197,0.996875,0.9918367346938777
trimmed,stealthy,0.1,3,0.9815146497168894,0.9757347332525688,0.9849004508293966,0.3251681075888569,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.99215965787598,0.9875366568914956,0.9945913461538461,0.9942495687176538,0.9851258581235698,0.9942495687176539,0.9888888888888888,0.9872448979591837,0.9840848806366048,0.9972222222222222,0.9834558823529411,0.9976851851851851
trimmed,stealthy,0.1,4,0.9837193767061606,0.9780334535355752,0.9855439792345247,0.3813640730067243,1.0,1.0,1.0,0.9936507936507937,1.0,1.0,1.0,1.0,0.9987004548408057,0.9962382445141066,0.9875222816399287,0.9891737891737891,0.9988636363636363,0.9681818181818183,0.9987460815047022,0.9870588235294118,1.0,0.9929846938775511,1.0,0.9990808823529411
