all,rsna,kermany,asr,round,attacker_active
0.9641070901198653,0.964566079352372,0.947809486831036,0.012968299711815562,1,False
0.9763736996319994,0.9738965127180584,0.9720155022038152,0.0345821325648415,2,False
0.9772382984513216,0.975309656561649,0.9740215851650524,0.027377521613832854,3,False
0.9767320530900079,0.9729575655385604,0.9850047096212889,0.03266090297790586,4,False
0.978799354372208,0.9721758967347025,0.9843072542548372,0.05427473583093179,5,False
0.9798832882604316,0.9728054825446979,0.9864355716617412,0.059558117195004805,6,False
0.9822934712322946,0.9779635520352908,0.9834695887889442,0.07348703170028818,7,False
0.9813207975605571,0.9765551312660437,0.9826319233230513,0.05811719500480307,8,False
0.9819332975662453,0.9768904695444358,0.9836817015034838,0.06772334293948126,9,False
0.981462546261725,0.9763397590759777,0.98249171322361,0.06340057636887608,10,False
0.9801276511898928,0.9745936384911666,0.987481754711419,0.05187319884726225,11,False
0.9827662702708605,0.9778440582543988,0.9842137808552097,0.06580211335254563,12,False
0.9831774097620487,0.9782516595702475,0.9843324201701216,0.05811719500480307,13,False
0.9815972416567352,0.9767927019055243,0.9856590234186817,0.06628242074927954,14,False
0.9804903276419978,0.9749988782698433,0.9868849630061045,0.07396733909702209,15,False
0.9826234977026699,0.9769617879670235,0.9866297087225062,0.07060518731988473,16,False
0.9825713942475054,0.977543434572432,0.9846200306305141,0.08069164265129683,17,False
0.9790960482828385,0.9740906310735785,0.9867195869913788,0.06964457252641691,18,False
0.9810978220755742,0.9758263608948337,0.9852635590356421,0.08597502401536984,19,False
0.9810409405743029,0.975459850325774,0.9852132272050734,0.11719500480307397,20,False
0.9819956396916386,0.9759297962229575,0.9858603507409565,0.07300672430355427,21,False
0.9775768571468876,0.97220706902537,0.9879383363172919,0.07300672430355427,22,False
0.982654327476359,0.977248478579677,0.9855583597575445,0.10086455331412104,23,False
0.9816006545468114,0.9761829530077718,0.9863924300926824,0.07492795389048991,24,False
0.9801931786793571,0.9738072466129654,0.987934741186537,0.05571565802113353,25,False
0.9807325290744104,0.9767697949949581,0.9884596302767532,0.04851104707012488,26,False
0.9817314819997351,0.9750069074962274,0.9870862903283792,0.12343900096061479,27,False
0.9826236114656726,0.9765785104840444,0.9870143877132812,0.06099903938520653,28,False
0.9818844932381546,0.9760433861609198,0.9873739007887716,0.08789625360230548,29,False
0.9827124603706581,0.9779552866551897,0.9861659368551234,0.09990393852065321,30,False
