all,rsna,kermany,asr,round,attacker_active
0.9641098204319263,0.9645665516598064,0.9478238673540558,0.012968299711815562,1,False
0.9763272843269621,0.9737888266230255,0.9720155022038152,0.03602305475504323,2,False
0.977116116986591,0.9750371351720262,0.9736333110435227,0.028338136407300672,3,False
0.976866293433008,0.9730057408968644,0.9852312028588479,0.03266090297790586,4,False
0.9788207418166859,0.9721867598056927,0.9843036591240825,0.05475504322766571,5,False
0.9798295921232318,0.9728853025011039,0.9864104057464569,0.06051873198847262,6,False
0.9819765275072114,0.9780112550861607,0.9827218015919238,0.07396733909702209,7,False
0.9809046524972572,0.9767653080743318,0.9812729638976969,0.06147934678194044,8,False
0.9819185083759149,0.9768408772638287,0.9838470775182093,0.07012487992315082,9,False
0.9814152208526673,0.9763671529071704,0.9815461938350698,0.07252641690682037,10,False
0.9813389996409639,0.9756478286846475,0.9859789900558683,0.06772334293948126,11,False
0.9823694649179928,0.9779635520352908,0.9824701424390805,0.0643611911623439,12,False
0.9831177979487167,0.9784240517837871,0.9836133940191404,0.07588856868395773,13,False
0.9827774190451097,0.9782483534182072,0.9847135040301415,0.06724303554274735,14,False
0.9818024701133216,0.9761324161122958,0.9858675410024663,0.08213256484149856,15,False
0.9825892550389047,0.9763869898194134,0.9860005608403978,0.08021133525456292,16,False
0.9817451335600403,0.9764828682285873,0.9845912695844747,0.08117195004803074,17,False
0.9806848623763453,0.9758079409048939,0.9854900522732012,0.08069164265129683,18,False
0.981580632258364,0.9767445265472202,0.9839944778791604,0.08261287223823247,19,False
0.9815749441082368,0.9765017605259616,0.9833329738202579,0.11335254562920269,20,False
0.9815392225254383,0.9758598947226729,0.983901004479533,0.0845341018251681,21,False
0.9801058086934046,0.9744278585817079,0.9870071974517713,0.07732949087415947,22,False
0.9831303118789962,0.9783683195065331,0.9848357384758084,0.08597502401536984,23,False
0.9816493451118996,0.9764601974717383,0.9848788800448673,0.08789625360230548,24,False
0.9809691561196987,0.9748744252608909,0.9873343543504677,0.06099903938520653,25,False
0.9824616129500523,0.9782450472661666,0.9874278277500953,0.05043227665706052,26,False
0.9831554535025581,0.9775198192007141,0.9872013345125362,0.08741594620557157,27,False
0.9828423777195616,0.977156378629978,0.9859717997943586,0.07829010566762729,28,False
0.9818939355673657,0.9766840711956226,0.9868777727445948,0.0792507204610951,29,False
0.9823334020461869,0.9775403645741086,0.9844115130467296,0.08501440922190202,30,False
