client,n_images,all,rsna,kermany
kerm_a,1201,0.8869795285752186,0.8819689552323398,0.9848015847336368
kerm_b,1200,0.9351505380307442,0.9083298500660051,0.9875482646303845
rsna_a,1600,0.950797160111415,0.9579485798896218,0.8920508063878284
rsna_b,1600,0.9608224109474593,0.9666383282206054,0.9033592901773837
rsna_c,1600,0.9485600106664192,0.9587198579299239,0.8552132991076886
