all,rsna,kermany,asr,round,attacker_active
0.9641070901198653,0.964566079352372,0.947809486831036,0.012968299711815562,1,False
0.9763736996319994,0.9738965127180584,0.9720155022038152,0.0345821325648415,2,False
0.9772382984513216,0.975309656561649,0.9740215851650524,0.027377521613832854,3,False
0.9767320530900079,0.9729575655385604,0.9850047096212889,0.03266090297790586,4,False
0.978799354372208,0.9721758967347025,0.9843072542548372,0.05427473583093179,5,False
0.9798832882604316,0.9728054825446979,0.9864355716617412,0.059558117195004805,6,False
0.9822934712322946,0.9779635520352908,0.9834695887889442,0.07348703170028818,7,False
0.9813207975605571,0.9765551312660437,0.9826319233230513,0.05811719500480307,8,False
0.9819332975662453,0.9768904695444358,0.9836817015034838,0.06772334293948126,9,False
0.981462546261725,0.9763397590759777,0.98249171322361,0.06340057636887608,10,False
0.9801276511898928,0.9745936384911666,0.987481754711419,0.05187319884726225,11,False
0.9827662702708605,0.9778440582543988,0.9842137808552097,0.06580211335254563,12,False
0.9831774097620487,0.9782516595702475,0.9843324201701216,0.05811719500480307,13,False
0.9815972416567352,0.9767927019055243,0.9856590234186817,0.06628242074927954,14,False
0.9804903276419978,0.9749988782698433,0.9868849630061045,0.07396733909702209,15,False
0.9823892596804351,0.9765277374348512,0.9862378394702216,0.13064361191162344,16,True
0.9832006174145674,0.9777070890984361,0.98515210998224,0.1882804995196926,17,True
0.9805237739647454,0.9748255414414352,0.9861946979011628,0.19548511047070125,18,True
0.9823767457501555,0.9766802927361479,0.9847099088993867,0.46829971181556196,19,True
0.9821963176281233,0.977599403003403,0.9852168223358284,0.5845341018251681,20,True
0.9822748140998775,0.9769641495041953,0.9850298755365733,0.5172910662824207,21,True
0.978985470644367,0.9746989630490278,0.9878304823946448,0.5278578290105668,22,True
0.9818131638355607,0.9764729497724659,0.9862953615623,0.45773294908741596,23,True
0.9828853801345225,0.9771195386500982,0.9867950847372319,0.42843419788664744,24,True
0.9803963594018977,0.9749162244688313,0.9884560351459983,0.4860710854947166,25,True
0.9824552422219098,0.9768517403348188,0.9886106257684593,0.6085494716618636,26,True
0.9820320438524521,0.9758627285672791,0.9866800405530749,0.7584053794428435,27,False
0.9826996051513707,0.9760412607774652,0.9865542109766532,0.7675312199807877,28,True
0.9820648075971843,0.9758495039591171,0.9874637790576444,0.4899135446685879,29,True
0.9824845930765657,0.9765749681782867,0.9858136140411426,0.7838616714697406,30,True
