all,rsna,kermany,round
0.9631560314186111,0.9653779758320284,0.9279284137564084,1
0.9746563333456197,0.9731186223736754,0.9721521171725016,2
0.9757568766322147,0.9723766273943034,0.9725943182553549,3
0.9776014299554368,0.9715675647592531,0.9845804841922101,4
0.9785643200089553,0.9716162124249916,0.9842713029472883,5
0.980147445952335,0.973409091445804,0.9857920432566133,6
0.9821376159188113,0.9778558659402579,0.9832143345053459,7
0.9823890321544301,0.9786455639704997,0.9815282181812953,8
0.983006310206225,0.9790451360599641,0.9828044895992867,9
0.9825555811901522,0.9784216902466154,0.9830921000596792,10
0.9791209623803953,0.9746625953765826,0.9864787132308002,11
0.9821690145075131,0.9769773741123572,0.9834839693119639,12
0.9821371608668014,0.976886691084961,0.9836637258497092,13
0.9817430858259945,0.9755108595286844,0.9863241226083392,14
0.9825655923343758,0.97643327594798,0.9859502290098291,15
0.9799768014485216,0.9760455115443744,0.9867699188219476,16
0.9833293971334454,0.978277636479137,0.9840412145789742,17
0.9807683644202113,0.9770345233119142,0.9861875076396528,18
0.982117366104359,0.9773656108233971,0.9853174859969658,19
0.9821346580807453,0.9762807206466834,0.9856266672418876,20
0.981062328018781,0.974378738608535,0.9871186465051734,21
0.9809851967030573,0.9752029150814848,0.988430869230714,22
0.981006129095525,0.9759718315846151,0.9878125067408702,23
0.9832654623260166,0.9779857504847055,0.9872660468661245,24
0.9780753666240284,0.975507553376644,0.9878053164793603,25
0.9770227175615036,0.9752902919568407,0.9873451397427324,26
0.9812418460367928,0.9757866870703479,0.9880354048476743,27
0.9826531898463334,0.9776206568379489,0.986410405746457,28
0.9778401047347707,0.9739513003804436,0.9885746744609102,29
0.9804227524184876,0.9762419914370664,0.9868741776138398,30
