method,attack,poison_frac,seed,all,rsna,kermany,asr,auroc_kerm_01,auroc_kerm_02,auroc_kerm_03,auroc_kerm_04,auroc_kerm_05,auroc_kerm_06,auroc_kerm_07,auroc_kerm_08,auroc_rsna_01,auroc_rsna_02,auroc_rsna_03,auroc_rsna_04,auroc_rsna_05,auroc_rsna_06,auroc_rsna_07,auroc_rsna_08,auroc_rsna_09,auroc_rsna_10,auroc_rsna_11,auroc_rsna_12
trimmed,none,0.0,0,0.9811684689001531,0.9754147449657933,0.988121687985792,0.06532180595581172,0.9992690058479532,1.0,0.9991666666666666,0.9990601503759399,0.9990009990009989,1.0,1.0,1.0,0.9835294117647059,0.9876543209876543,0.990162037037037,0.9971590909090909,0.9988655700510494,0.9874643874643875,0.9973474801061009,0.9937499999999999,0.9980867346938775,0.9772727272727273,0.9983805668016195,0.9983805668016195
trimmed,none,0.0,1,0.9836078889636692,0.9793459958956484,0.9878628385714388,0.0393852065321806,0.9911949685534591,0.9990370727010112,0.9953775038520801,1.0,0.9988372093023256,1.0,1.0,1.0,0.9898305084745762,0.9943573667711599,0.9815805109922756,0.9965014577259474,0.9908831908831909,1.0,0.9963942307692307,0.9817647058823528,1.0,0.9909722222222223,0.9940318302387268,0.99609375
trimmed,none,0.0,2,0.982149902323086,0.9745114569975888,0.9872732371276344,0.10134486071085495,1.0,0.9992229992229993,0.9951690821256038,1.0,0.99812734082397,0.9961685823754789,1.0,1.0,0.9931972789115646,0.9876543209876543,0.9919493962047155,0.9954622802041975,0.994895065229722,0.9806818181818182,0.9708454810495627,0.9901738473167045,1.0,0.9926686217008798,0.9945312500000001,0.9816326530612245
trimmed,none,0.0,3,0.9834524887021963,0.9777212583214667,0.9859969657096429,0.0686839577329491,0.9994047619047619,0.9994425863991082,1.0,1.0,1.0,1.0,1.0,1.0,0.9957234497505346,0.9868035190615836,0.9957932692307693,0.9976998274870615,0.9891304347826088,0.9913743530764807,0.9925925925925926,0.985969387755102,0.9887267904509285,0.9972222222222222,0.9862132352941176,0.9976851851851851
trimmed,none,0.0,4,0.981798602171235,0.975661997907678,0.9846559819380631,0.0845341018251681,1.0,1.0,0.9980237154150198,0.980952380952381,1.0,1.0,1.0,1.0,0.9844054580896686,0.9937304075235109,0.9916815210932859,0.9868945868945869,0.9982954545454545,0.9789772727272728,0.9949843260188088,0.9911764705882353,0.9993990384615384,0.9961734693877551,1.0,0.9954044117647058
trimmed,stealthy,0.1,0,0.9826980124693352,0.9781524750090329,0.9877873408255858,0.4164265129682997,1.0,0.9992690058479532,0.9991666666666666,0.9953007518796992,1.0,1.0,1.0,1.0,0.9905882352941177,0.9919753086419754,0.9918981481481481,0.9954545454545455,0.9960294951786727,0.9891737891737892,0.9993368700265253,0.9986111111111111,0.9961734693877551,0.9750733137829911,0.9991902834008097,0.9991902834008097
trimmed,stealthy,0.1,1,0.9838149376282962,0.978458530226495,0.9879383363172919,0.29490874159462055,0.989937106918239,0.9985556090515166,0.9969183359013867,1.0,1.0,1.0,1.0,1.0,0.991864406779661,0.981191222570533,0.9673202614379085,0.9924198250728863,0.988034188034188,0.9988425925925926,0.9945913461538461,0.9817647058823529,1.0,0.9854166666666666,0.9734748010610079,0.9968750000000001
trimmed,stealthy,0.1,2,0.982391534940486,0.9758088855197625,0.9880389999784291,0.5312199807877042,1.0,0.9992229992229992,0.997584541062802,1.0,1.0,1.0,1.0,1.0,0.9886621315192744,0.9925925925925927,0.9913743530764808,0.9954622802041974,0.9965967101531481,0.9806818181818182,0.9749271137026239,0.9886621315192744,0.9993827160493827,0.9890029325513197,0.99609375,0.989795918367347
trimmed,stealthy,0.1,3,0.9810618729667708,0.9751944135476664,0.9850514463211028,0.32324687800192126,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9907341411261582,0.9868035190615836,0.9951923076923077,0.9948246118458884,0.986842105263158,0.9942495687176539,0.9876543209876544,0.9891581632653061,0.9847480106100797,0.9965277777777777,0.9834558823529411,0.9976851851851851
trimmed,stealthy,0.1,4,0.9835692095428048,0.9776475783617072,0.9860257267556821,0.3554274735830932,0.9993265993265994,1.0,1.0,0.9936507936507937,1.0,1.0,1.0,1.0,0.9987004548408057,0.9968652037617555,0.9893048128342246,0.9880341880341881,0.9988636363636363,0.96875,0.9987460815047022,0.988235294117647,1.0,0.9923469387755103,1.0,0.9981617647058824
