method,attack,seed,round,client,is_attacker,norm
fedavg,False,0,26,rsna_c,False,52.34809494018555
fedavg,False,0,26,rsna_b,False,45.69575881958008
fedavg,False,0,27,rsna_a,False,78.4135513305664
fedavg,False,0,27,kerm_a,False,69.00691223144531
fedavg,False,0,27,rsna_b,False,41.660850524902344
fedavg,False,0,27,kerm_b,False,56.23152542114258
fedavg,False,0,28,rsna_c,False,56.31767272949219
fedavg,False,0,28,rsna_b,False,52.70449447631836
fedavg,False,0,28,rsna_a,False,75.49263000488281
fedavg,False,0,28,kerm_b,False,95.67747497558594
fedavg,False,0,29,kerm_b,False,65.6006851196289
fedavg,False,0,29,rsna_c,False,68.14668273925781
fedavg,False,0,29,rsna_a,False,62.65096664428711
fedavg,False,0,29,kerm_a,False,65.41979217529297
fedavg,False,0,30,rsna_a,False,76.8354721069336
fedavg,False,0,30,kerm_a,False,145.34561157226562
fedavg,False,0,30,rsna_b,False,65.96908569335938
fedavg,False,0,30,rsna_c,False,40.93838119506836
fedavg,False,1,1,rsna_b,False,28.571205139160156
fedavg,False,1,1,kerm_b,False,31.45578956604004
fedavg,False,1,1,rsna_c,False,28.96221923828125
fedavg,False,1,1,kerm_a,False,28.225847244262695
fedavg,False,1,2,rsna_b,False,34.1173095703125
fedavg,False,1,2,rsna_c,False,36.11632537841797
fedavg,False,1,2,kerm_b,False,43.560184478759766
fedavg,False,1,2,kerm_a,False,26.98871421813965
fedavg,False,1,3,rsna_a,False,41.70126724243164
fedavg,False,1,3,kerm_b,False,68.9222183227539
fedavg,False,1,3,rsna_c,False,36.65972137451172
fedavg,False,1,3,kerm_a,False,30.87626075744629
fedavg,False,1,4,kerm_b,False,100.38740539550781
fedavg,False,1,4,rsna_b,False,39.0074348449707
fedavg,False,1,4,rsna_c,False,35.123592376708984
fedavg,False,1,4,rsna_a,False,47.90464782714844
fedavg,False,1,5,rsna_a,False,64.77223205566406
fedavg,False,1,5,rsna_b,False,52.33644104003906
fedavg,False,1,5,kerm_a,False,47.17243576049805
fedavg,False,1,5,rsna_c,False,45.27388000488281
fedavg,False,1,6,rsna_b,False,42.8061637878418
fedavg,False,1,6,rsna_c,False,37.36250305175781
fedavg,False,1,6,kerm_a,False,43.10602951049805
fedavg,False,1,6,rsna_a,False,55.85520553588867
fedavg,False,1,7,rsna_c,False,41.04705047607422
fedavg,False,1,7,rsna_a,False,54.422603607177734
fedavg,False,1,7,kerm_b,False,50.62238311767578
fedavg,False,1,7,kerm_a,False,46.261199951171875
fedavg,False,1,8,kerm_a,False,56.06181335449219
fedavg,False,1,8,kerm_b,False,45.632659912109375
fedavg,False,1,8,rsna_c,False,41.874114990234375
fedavg,False,1,8,rsna_a,False,52.54801559448242
fedavg,False,1,9,rsna_b,False,71.8980712890625
fedavg,False,1,9,kerm_b,False,53.035072326660156
fedavg,False,1,9,rsna_c,False,40.128684997558594
fedavg,False,1,9,kerm_a,False,46.88815689086914
fedavg,False,1,10,kerm_a,False,43.26187515258789
fedavg,False,1,10,rsna_a,False,63.52190399169922
fedavg,False,1,10,kerm_b,False,61.08632278442383
fedavg,False,1,10,rsna_c,False,42.0952033996582
fedavg,False,1,11,kerm_b,False,49.040626525878906
fedavg,False,1,11,kerm_a,False,45.296852111816406
fedavg,False,1,11,rsna_a,False,49.77680206298828
fedavg,False,1,11,rsna_b,False,76.69078826904297
fedavg,False,1,12,kerm_a,False,46.4783821105957
fedavg,False,1,12,kerm_b,False,49.942501068115234
fedavg,False,1,12,rsna_a,False,55.21269989013672
fedavg,False,1,12,rsna_b,False,60.61479187011719
fedavg,False,1,13,kerm_a,False,43.71083450317383
fedavg,False,1,13,rsna_c,False,43.132965087890625
fedavg,False,1,13,rsna_b,False,72.53731536865234
fedavg,False,1,13,kerm_b,False,55.79547119140625
fedavg,False,1,14,rsna_a,False,60.14717483520508
fedavg,False,1,14,rsna_b,False,49.30636215209961
fedavg,False,1,14,kerm_b,False,82.70942687988281
fedavg,False,1,14,rsna_c,False,51.99177169799805
fedavg,False,1,15,kerm_b,False,55.35173034667969
fedavg,False,1,15,rsna_a,False,82.83059692382812
fedavg,False,1,15,kerm_a,False,55.104339599609375
fedavg,False,1,15,rsna_b,False,58.61909103393555
fedavg,False,1,16,rsna_b,False,41.46773147583008
fedavg,False,1,16,rsna_c,False,46.094970703125
fedavg,False,1,16,kerm_b,False,68.1121826171875
fedavg,False,1,16,kerm_a,False,43.69169235229492
fedavg,False,1,17,rsna_a,False,88.66433715820312
fedavg,False,1,17,kerm_a,False,37.790401458740234
fedavg,False,1,17,rsna_b,False,44.36381912231445
fedavg,False,1,17,rsna_c,False,39.5386962890625
fedavg,False,1,18,rsna_c,False,57.1929817199707
fedavg,False,1,18,kerm_b,False,64.31211853027344
fedavg,False,1,18,rsna_b,False,56.70751190185547
fedavg,False,1,18,kerm_a,False,49.089725494384766
fedavg,False,1,19,rsna_a,False,86.49098205566406
fedavg,False,1,19,kerm_b,False,62.445987701416016
fedavg,False,1,19,kerm_a,False,42.599815368652344
fedavg,False,1,19,rsna_c,False,31.681245803833008
fedavg,False,1,20,kerm_a,False,47.554039001464844
fedavg,False,1,20,rsna_a,False,87.93446350097656
fedavg,False,1,20,rsna_b,False,44.69895935058594
fedavg,False,1,20,rsna_c,False,75.24546813964844
fedavg,False,1,21,kerm_b,False,67.08135223388672
fedavg,False,1,21,rsna_a,False,60.13269805908203
fedavg,False,1,21,rsna_b,False,36.970909118652344
fedavg,False,1,21,kerm_a,False,47.624942779541016
fedavg,False,1,22,rsna_c,False,68.84061431884766
fedavg,False,1,22,rsna_a,False,82.33595275878906
fedavg,False,1,22,kerm_b,False,90.91434478759766
fedavg,False,1,22,kerm_a,False,52.0705451965332
fedavg,False,1,23,rsna_c,False,53.42538070678711
fedavg,False,1,23,kerm_a,False,51.066612243652344
fedavg,False,1,23,rsna_b,False,52.156490325927734
fedavg,False,1,23,rsna_a,False,63.408851623535156
fedavg,False,1,24,kerm_a,False,43.69749450683594
fedavg,False,1,24,kerm_b,False,58.11031723022461
fedavg,False,1,24,rsna_b,False,46.098388671875
fedavg,False,1,24,rsna_c,False,47.41251754760742
fedavg,False,1,25,rsna_a,False,97.10466766357422
fedavg,False,1,25,kerm_b,False,55.45234680175781
fedavg,False,1,25,rsna_b,False,52.200164794921875
fedavg,False,1,25,kerm_a,False,53.9355583190918
fedavg,False,1,26,kerm_b,False,97.28157806396484
fedavg,False,1,26,rsna_b,False,38.24477767944336
fedavg,False,1,26,kerm_a,False,53.31328582763672
fedavg,False,1,26,rsna_a,False,53.785064697265625
fedavg,False,1,27,rsna_c,False,53.787906646728516
fedavg,False,1,27,kerm_a,False,42.8609619140625
fedavg,False,1,27,kerm_b,False,72.43962097167969
fedavg,False,1,27,rsna_a,False,98.01738739013672
fedavg,False,1,28,rsna_c,False,50.95500946044922
fedavg,False,1,28,rsna_b,False,53.038902282714844
fedavg,False,1,28,kerm_b,False,53.449310302734375
fedavg,False,1,28,kerm_a,False,67.18922424316406
fedavg,False,1,29,rsna_b,False,55.876495361328125
fedavg,False,1,29,kerm_b,False,49.32633972167969
fedavg,False,1,29,rsna_a,False,96.66859436035156
fedavg,False,1,29,kerm_a,False,36.498531341552734
fedavg,False,1,30,kerm_b,False,92.21900939941406
fedavg,False,1,30,rsna_a,False,73.76417541503906
fedavg,False,1,30,kerm_a,False,74.71192169189453
fedavg,False,1,30,rsna_b,False,38.98223876953125
fedavg,False,2,1,rsna_c,False,28.176942825317383
fedavg,False,2,1,kerm_b,False,28.746028900146484
fedavg,False,2,1,rsna_b,False,29.36931610107422
fedavg,False,2,1,kerm_a,False,29.68362045288086
fedavg,False,2,2,kerm_b,False,36.78963851928711
fedavg,False,2,2,kerm_a,False,24.173429489135742
fedavg,False,2,2,rsna_c,False,27.937664031982422
fedavg,False,2,2,rsna_a,False,41.291725158691406
fedavg,False,2,3,rsna_a,False,38.42625045776367
fedavg,False,2,3,rsna_c,False,35.598445892333984
fedavg,False,2,3,kerm_a,False,33.34377670288086
fedavg,False,2,3,kerm_b,False,46.589805603027344
fedavg,False,2,4,kerm_b,False,42.56535720825195
fedavg,False,2,4,rsna_c,False,38.189208984375
fedavg,False,2,4,rsna_b,False,49.80886459350586
fedavg,False,2,4,kerm_a,False,35.84714126586914
fedavg,False,2,5,kerm_b,False,39.865333557128906
fedavg,False,2,5,rsna_a,False,46.212520599365234
fedavg,False,2,5,kerm_a,False,33.49631118774414
fedavg,False,2,5,rsna_b,False,55.4693489074707
fedavg,False,2,6,rsna_a,False,49.39956283569336
fedavg,False,2,6,rsna_b,False,42.616695404052734
fedavg,False,2,6,kerm_a,False,42.46459197998047
fedavg,False,2,6,kerm_b,False,67.916748046875
fedavg,False,2,7,kerm_b,False,51.93376922607422
fedavg,False,2,7,rsna_a,False,49.994178771972656
fedavg,False,2,7,rsna_b,False,47.5524787902832
fedavg,False,2,7,rsna_c,False,38.03657150268555
fedavg,False,2,8,kerm_a,False,48.71410369873047
fedavg,False,2,8,rsna_b,False,47.14555358886719
fedavg,False,2,8,kerm_b,False,49.43668746948242
fedavg,False,2,8,rsna_a,False,42.29861068725586
fedavg,False,2,9,kerm_a,False,36.61247253417969
fedavg,False,2,9,rsna_b,False,42.11138153076172
fedavg,False,2,9,kerm_b,False,52.926666259765625
fedavg,False,2,9,rsna_c,False,42.412776947021484
fedavg,False,2,10,kerm_b,False,44.326324462890625
fedavg,False,2,10,rsna_b,False,53.50674819946289
fedavg,False,2,10,rsna_a,False,65.46133422851562
fedavg,False,2,10,rsna_c,False,38.905479431152344
fedavg,False,2,11,rsna_a,False,48.16130828857422
fedavg,False,2,11,kerm_a,False,60.87398910522461
fedavg,False,2,11,kerm_b,False,52.525421142578125
fedavg,False,2,11,rsna_c,False,35.74892807006836
fedavg,False,2,12,kerm_b,False,43.342803955078125
fedavg,False,2,12,rsna_b,False,74.40013122558594
fedavg,False,2,12,kerm_a,False,54.385990142822266
fedavg,False,2,12,rsna_a,False,52.2173957824707
fedavg,False,2,13,rsna_c,False,41.74153518676758
