auroc,mean_shift,max_shift,flip_rate,round,client,is_attacker
0.96675,0.10246835649013519,0.9883329272270203,0.065,14,kerm_a,False
0.9692,0.0871715322136879,0.7626492977142334,0.07,14,rsna_c,False
0.9847,0.05907702445983887,0.6971091628074646,0.025,14,kerm_b,False
0.9565,0.09164329618215561,0.9236909747123718,0.09,14,rsna_b,False
0.9605,0.14093895256519318,0.9121712446212769,0.14,15,rsna_c,True
0.9687,0.07130537182092667,0.931980550289154,0.055,15,rsna_a,False
0.9747,0.05900580435991287,0.894147515296936,0.045,15,kerm_a,False
0.9766,0.06707175076007843,0.9122015833854675,0.055,15,kerm_b,False
0.9721,0.03872007504105568,0.6319853663444519,0.035,16,rsna_c,True
0.9621000000000001,0.06669957935810089,0.6949614882469177,0.045,16,rsna_a,False
0.9783,0.07468175143003464,0.7414319515228271,0.075,16,rsna_b,False
0.9758000000000001,0.07277733832597733,0.9670059084892273,0.055,16,kerm_a,False
0.9694,0.0737062469124794,0.8211971521377563,0.08,17,rsna_c,True
0.9627,0.06401702761650085,0.8368901014328003,0.045,17,rsna_b,False
0.9646,0.0636676773428917,0.8538346886634827,0.04,17,rsna_a,False
0.9823,0.06178583204746246,0.7474046945571899,0.04,17,kerm_b,False
0.9705999999999999,0.05273020640015602,0.7701680660247803,0.045,18,rsna_c,True
0.9691000000000001,0.08884457498788834,0.9320045709609985,0.06,18,rsna_a,False
0.9721,0.10373282432556152,0.9095074534416199,0.075,18,kerm_a,False
0.9746999999999999,0.041900329291820526,0.414603054523468,0.02,18,rsna_b,False
0.9735,0.06042490527033806,0.7291791439056396,0.05,19,rsna_c,True
0.9814999999999999,0.051064424216747284,0.8024336099624634,0.035,19,kerm_b,False
0.9712,0.054987479001283646,0.7066606879234314,0.03,19,rsna_a,False
0.9741,0.06150044873356819,0.9916808009147644,0.04,19,kerm_a,False
0.97,0.0741555318236351,0.936261773109436,0.065,20,rsna_c,True
0.9585,0.10520142316818237,0.995640754699707,0.09,20,kerm_a,False
0.9629,0.0666017234325409,0.9065865874290466,0.04,20,rsna_b,False
0.9592,0.07362658530473709,0.8603863716125488,0.065,20,rsna_a,False
0.9736,0.07999655604362488,0.8063317537307739,0.085,21,rsna_c,True
0.9863999999999999,0.07521995157003403,0.966767430305481,0.065,21,kerm_b,False
0.96905,0.10015150159597397,0.9300063848495483,0.07,21,kerm_a,False
0.9613,0.04963594302535057,0.689226508140564,0.03,21,rsna_b,False
0.9714999999999999,0.06611910462379456,0.945540189743042,0.06,22,rsna_c,True
0.9551999999999999,0.07118570059537888,0.8650392293930054,0.065,22,rsna_a,False
0.9669,0.07635092735290527,0.9071667194366455,0.065,22,rsna_b,False
0.97115,0.07134624570608139,0.9033080339431763,0.07,22,kerm_a,False
0.9656,0.07482349872589111,0.8565930724143982,0.075,23,rsna_c,True
0.9758,0.09540510177612305,0.9921702742576599,0.08,23,kerm_b,False
0.9828000000000001,0.04456571489572525,0.7264978885650635,0.02,23,rsna_a,False
0.9828,0.06526824086904526,0.8608575463294983,0.045,23,kerm_a,False
0.9704,0.07220322638750076,0.9074829816818237,0.06,24,rsna_c,True
0.9854999999999999,0.03990722820162773,0.8566054701805115,0.025,24,kerm_b,False
0.9755999999999999,0.06555183231830597,0.9511207342147827,0.05,24,rsna_b,False
0.9596,0.08718246221542358,0.9582052230834961,0.06,24,rsna_a,False
