all,rsna,kermany,round
0.9564796220884066,0.9571284180298639,0.979637179404215,1
0.9690968491743763,0.9650145352612924,0.9828116798607966,2
0.9757671153024434,0.9677144807097836,0.9828584165606103,3
0.9778314587465774,0.9714239832992091,0.9816468574962071,4
0.9792958161153029,0.9724266919823451,0.9860616780632311,5
0.9804097834361978,0.9720370383490021,0.9875860135033111,6
0.9818807390590707,0.9763510944544023,0.9835630621885718,7
0.981255952649108,0.972959927075732,0.9881756149471157,8
0.9820577542910268,0.975084838222896,0.9872552614738599,9
0.9824518293318335,0.9774350400162474,0.9841526636323762,10
0.9827488645314717,0.9753509834621552,0.9883481812233511,11
0.9837662470632081,0.9767927019055244,0.9892721298273619,12
0.9832469189566022,0.9758636731821477,0.989455481495862,13
0.9827710483169674,0.9771048971196332,0.9847027186378768,14
0.9834376995118657,0.9762297114437731,0.9886106257684593,15
0.9836547593207167,0.9763954913532317,0.9898221848328624,16
0.9837271125903334,0.976500815911093,0.9887184796911064,17
0.984222209177398,0.9786767362611671,0.9869029386598791,18
0.9835389485841285,0.9777807690581953,0.98686698735233,19
0.9833758124384826,0.9767128819491184,0.9897251163024798,20
0.9830358885868861,0.9765404897355787,0.9874853498421738,21
0.9835899144092674,0.9765919712459235,0.9903111226155296,22
0.9826122351654182,0.976373292903817,0.9891678710354697,23
0.9830641018115165,0.9756133502419395,0.9903866203613825,24
0.9825406782368191,0.974427622427991,0.9896639990796465,25
0.9814479845973995,0.9737926050825003,0.9896604039488917,26
0.982822127905109,0.9764717690038799,0.9892829152196265,27
0.982160596045325,0.9761295822676896,0.9895130035879405,28
0.9820423962856836,0.9760844769077088,0.9889917096284792,29
0.9817028137230944,0.9747386368735137,0.9863924300926825,30
