all,rsna,kermany,asr,round,attacker_active
0.9645860323605686,0.9644300548112779,0.9484242541901249,0.01681075888568684,1,False
0.9763476479044173,0.9736190321003747,0.9717350820049325,0.069164265129683,2,False
0.9774778833346758,0.9752846242676283,0.9744026690250724,0.03506243996157541,3,False
0.9763971348105231,0.9727322748923729,0.9850298755365732,0.04418828049951969,4,False
0.9786348530705316,0.9720120060549813,0.984512176707867,0.05763688760806916,5,False
0.9800268571696401,0.9732655099857599,0.9862917664315451,0.0643611911623439,6,False
0.982442500765625,0.9780589581370304,0.9835666573193267,0.07300672430355427,7,False
0.9813401372709893,0.9766151143102069,0.9829123435219339,0.06724303554274735,8,False
0.9822604799615572,0.9773533308301039,0.9840627853635036,0.06051873198847262,9,False
0.98187891885103,0.9769924879502566,0.9831568124132675,0.06964457252641691,10,False
0.980674509943114,0.9748786760278001,0.987287617650654,0.06580211335254563,11,False
0.9826040442292352,0.9777599875310837,0.9839944778791604,0.06820365033621517,12,False
0.9827093887695894,0.9780962704243447,0.9838039359491506,0.06532180595581172,13,False
0.9814620912097148,0.9773948938843271,0.9850838024978968,0.06820365033621517,14,False
0.9814265971529216,0.9758660347193195,0.9861120098937999,0.07588856868395773,15,False
0.9823043924805386,0.9764290251810709,0.9866117330687317,0.07732949087415947,16,False
0.9820379595285844,0.9766358958373184,0.9844798205310727,0.08069164265129683,17,False
0.979001966279736,0.9743631524632014,0.9863636690466432,0.08405379442843419,18,False
0.9810156851877386,0.975794716296732,0.9847674309914651,0.09990393852065321,19,False
0.9801060362194098,0.9751396258852811,0.9845732939307003,0.14121037463976946,20,False
0.9813301261267657,0.9758490316516828,0.9850442560595929,0.074447646493756,21,False
0.9769888161867459,0.972344038181333,0.9875213011497228,0.07060518731988473,22,False
0.9823610464558047,0.9768550464868592,0.9854217447888579,0.11719500480307397,23,False
0.9820145243500606,0.9765319882017602,0.9859933705788879,0.07300672430355427,24,False
0.9799163932941717,0.9735300021489989,0.9869496753596929,0.04755043227665706,25,False
0.9804825917578249,0.9769402979787603,0.9882043759931549,0.034101825168107586,26,False
0.9811929279456997,0.974789646076424,0.9860365121479467,0.10902977905859751,27,False
0.9825380616877607,0.9765537143437406,0.9862018881626724,0.04514889529298751,28,False
0.9810672198278901,0.9758258885873992,0.9867088015991142,0.08357348703170028,29,False
0.9828043808767122,0.9781536557776188,0.9860868439785154,0.08069164265129683,30,False
